iter	Passed	Remaining
0	1250	23764
1	2142	19285
2	3269	18529
3	4365	17462
4	5305	15916
5	6236	14551
6	7189	13351
7	8131	12197
8	8991	10989
9	9958	9958
10	10824	8856
11	11756	7837
12	12628	6800
13	13515	5792
14	14400	4800
15	15280	3820
16	16177	2854
17	17064	1896
18	17958	945
19	18861	0
